"eov","period","cell","n","sp","es"
"fish",1960,"834488fffffffff",100,7,4.00000000000001
"fish",1960,"835e59fffffffff",5,4,NA
"fish",1960,"83458cfffffffff",1,1,NA
"fish",1960,"834c98fffffffff",1,1,NA
"fish",1960,"832a49fffffffff",6,6,NA
"fish",1960,"836768fffffffff",6,5,NA
"fish",1960,"834504fffffffff",1,1,NA
"fish",1960,"83459bfffffffff",2,2,NA
"fish",1960,"8344b0fffffffff",4,4,NA
"fish",1960,"834d86fffffffff",3,3,NA
"fish",1960,"835e6afffffffff",2,2,NA
"fish",1960,"83671bfffffffff",1,1,NA
"fish",1960,"83451afffffffff",2,1,NA
"fish",1960,"834ce1fffffffff",1,1,NA
"fish",1960,"834482fffffffff",99,1,1
"fish",1960,"834c03fffffffff",2,1,NA
"fish",1960,"834cf0fffffffff",1,1,NA
"fish",1960,"8366a4fffffffff",57,46,41.3616427432216
"fish",1960,"8366a5fffffffff",459,221,44.8009826112882
"fish",1960,"836769fffffffff",14,12,NA
"fish",1960,"836786fffffffff",158,80,37.7673880166781
"fish",1960,"836d60fffffffff",7,7,NA
"fish",1960,"835e62fffffffff",46,29,NA
"fish",1960,"836600fffffffff",2,2,NA
"fish",1960,"8366b4fffffffff",98,82,45.7474226804128
"fish",1960,"836770fffffffff",2,2,NA
"fish",1960,"836d69fffffffff",597,251,45.4530740628026
"fish",1960,"835e42fffffffff",72,49,37.2381471393794
"fish",1960,"835f5afffffffff",77,36,31.7717574033364
"fish",1960,"835f5efffffffff",10,10,NA
"fish",1960,"834420fffffffff",12,12,NA
"fish",1960,"836d63fffffffff",42,39,NA
"fish",1960,"834412fffffffff",10,5,NA
"fish",1960,"8367aefffffffff",3,3,NA
"fish",1960,"836d0bfffffffff",1,1,NA
"fish",1960,"8345b4fffffffff",9,8,NA
"fish",1960,"834466fffffffff",31,26,NA
"fish",1960,"836750fffffffff",18,16,NA
"fish",1960,"8366a0fffffffff",26,25,NA
"fish",1960,"834514fffffffff",1,1,NA
"fish",1960,"8345b6fffffffff",30,23,NA
"fish",1960,"834cc0fffffffff",40,35,NA
"fish",1960,"834413fffffffff",44,37,NA
"fish",1960,"835e6bfffffffff",2,2,NA
"fish",1960,"83440afffffffff",16,16,NA
"fish",1960,"83441afffffffff",53,37,35.4041236233245
"fish",1960,"834891fffffffff",4,4,NA
"fish",1960,"834d94fffffffff",11,9,NA
"fish",1960,"836d25fffffffff",5,5,NA
"fish",1960,"834db3fffffffff",16,8,NA
"fish",1960,"834485fffffffff",12,11,NA
"fish",1960,"836788fffffffff",7,4,NA
"fish",1960,"834550fffffffff",1,1,NA
"fish",1960,"83676bfffffffff",10,9,NA
"fish",1960,"83679dfffffffff",2,2,NA
"fish",1960,"835e44fffffffff",13,10,NA
"fish",1960,"8344b6fffffffff",2,2,NA
"fish",1960,"83441bfffffffff",24,14,NA
"fish",1960,"834463fffffffff",2,2,NA
"fish",1960,"834d90fffffffff",1,1,NA
"fish",1960,"834da5fffffffff",6,1,NA
"fish",1960,"834d49fffffffff",5,5,NA
"fish",1960,"8367a1fffffffff",2,2,NA
"fish",1960,"836761fffffffff",2,2,NA
"fish",1960,"8367a8fffffffff",7,3,NA
"fish",1960,"835e48fffffffff",2,2,NA
"fish",1960,"834cf6fffffffff",17,10,NA
"fish",1960,"83448bfffffffff",2,2,NA
"fish",1960,"83489afffffffff",1,1,NA
"fish",1960,"834893fffffffff",1,1,NA
"fish",1960,"8344d4fffffffff",1,1,NA
"fish",1960,"834da8fffffffff",1,1,NA
"fish",1960,"834423fffffffff",1,1,NA
"fish",1960,"836716fffffffff",1,1,NA
"fish",1960,"835e6cfffffffff",1,1,NA
"fish",1960,"834ca9fffffffff",1,1,NA
"fish",1960,"83662dfffffffff",1,1,NA
"fish",1960,"834cdefffffffff",1,1,NA
"fish",1960,"836626fffffffff",1,1,NA
"fish",1960,"836c14fffffffff",1,1,NA
"fish",1960,"834c95fffffffff",1,1,NA
"fish",1960,"834433fffffffff",172,93,39.1647053027472
"fish",1960,"8344f4fffffffff",35,21,NA
"fish",1960,"836791fffffffff",66,53,42.2902097902096
"fish",1960,"836d68fffffffff",392,176,43.6131938034122
"fish",1960,"835f4bfffffffff",6,5,NA
"fish",1960,"835f58fffffffff",57,36,33.6862041467304
"fish",1960,"834505fffffffff",37,26,NA
"fish",1960,"836612fffffffff",198,125,43.1655789369847
"fish",1960,"836615fffffffff",86,64,41.8477741334705
"fish",1960,"836763fffffffff",3,3,NA
"fish",1960,"83679afffffffff",159,105,43.5450999942118
"fish",1960,"834ceafffffffff",11,6,NA
"fish",1960,"834cabfffffffff",55,54,49.1750841750843
"fish",1960,"835f5bfffffffff",550,200,43.0081695265633
"fish",1960,"836780fffffffff",6,4,NA
"fish",1960,"834890fffffffff",24,22,NA
"fish",1960,"835f4dfffffffff",1,1,NA
"fish",1960,"834403fffffffff",34,25,NA
"fish",1960,"83441efffffffff",11,9,NA
"fish",1960,"8344a6fffffffff",6,6,NA
"fish",1960,"8344e0fffffffff",216,33,19.0362932723154
"fish",1960,"836620fffffffff",63,47,39.4294611904341
"fish",1960,"834c8efffffffff",5,5,NA
"fish",1960,"834404fffffffff",12,10,NA
"fish",1960,"834422fffffffff",3,3,NA
"fish",1960,"834460fffffffff",19,19,NA
"fish",1960,"834465fffffffff",68,45,35.6320451936125
"fish",1960,"83448cfffffffff",9,8,NA
"fish",1960,"8367b0fffffffff",2,2,NA
"fish",1960,"834cf2fffffffff",204,12,3.88201487491634
"fish",1960,"834d84fffffffff",1,1,NA
"fish",1960,"834896fffffffff",17,16,NA
"fish",1960,"835f51fffffffff",2,2,NA
"fish",1960,"8348b2fffffffff",18,15,NA
"fish",1960,"834cccfffffffff",2,2,NA
"fish",1960,"836793fffffffff",17,16,NA
"fish",1960,"83458bfffffffff",22,17,NA
"fish",1960,"8348b3fffffffff",2,1,NA
"fish",1960,"83448efffffffff",4,4,NA
"fish",1960,"836742fffffffff",4,4,NA
"fish",1960,"836632fffffffff",3,3,NA
"fish",1960,"836636fffffffff",4,4,NA
"fish",1960,"8367b2fffffffff",28,17,NA
"fish",1960,"8344a2fffffffff",11,4,NA
"fish",1960,"8366a2fffffffff",22,17,NA
"fish",1960,"834468fffffffff",6,2,NA
"fish",1960,"8344adfffffffff",8,5,NA
"fish",1960,"836718fffffffff",3,2,NA
"fish",1960,"834462fffffffff",11,10,NA
"fish",1960,"836784fffffffff",6,6,NA
"fish",1960,"834594fffffffff",3,3,NA
"fish",1960,"834440fffffffff",25,7,NA
"fish",1960,"8344f3fffffffff",5,4,NA
"fish",1960,"83451bfffffffff",3,2,NA
"fish",1960,"834490fffffffff",4,3,NA
"fish",1960,"834d0afffffffff",6,2,NA
"fish",1960,"834d03fffffffff",6,3,NA
"fish",1960,"834993fffffffff",3,3,NA
"fish",1960,"834cb0fffffffff",1,1,NA
"fish",1960,"836602fffffffff",1,1,NA
"fish",1960,"834c9cfffffffff",2,1,NA
"fish",1960,"834d2afffffffff",2,1,NA
"fish",1960,"834592fffffffff",2,2,NA
"fish",1960,"834996fffffffff",1,1,NA
"fish",1960,"834ca1fffffffff",1,1,NA
"fish",1970,"8366a5fffffffff",1271,318,43.5935184908786
"fish",1970,"836764fffffffff",1,1,NA
"fish",1970,"836d60fffffffff",11,5,NA
"fish",1970,"836d69fffffffff",855,286,44.3854332478202
"fish",1970,"83441afffffffff",20,19,NA
"fish",1970,"835e62fffffffff",81,37,31.4872909772145
"fish",1970,"836d63fffffffff",35,34,NA
"fish",1970,"8366b4fffffffff",129,98,44.0645326952655
"fish",1970,"834485fffffffff",53,41,39.1211047554
"fish",1970,"83440afffffffff",179,68,33.8451757257787
"fish",1970,"834c29fffffffff",4,2,NA
"fish",1970,"834d0dfffffffff",103,73,37.21264039539
"fish",1970,"8344d4fffffffff",18,15,NA
"fish",1970,"834cc0fffffffff",18,17,NA
"fish",1970,"834893fffffffff",572,33,18.1609344882162
"fish",1970,"834d52fffffffff",7,6,NA
"fish",1970,"834c20fffffffff",46,9,NA
"fish",1970,"834413fffffffff",24,19,NA
"fish",1970,"836d28fffffffff",1,1,NA
"fish",1970,"83441bfffffffff",30,23,NA
"fish",1970,"834d46fffffffff",11,11,NA
"fish",1970,"834c2afffffffff",2,1,NA
"fish",1970,"835f4cfffffffff",1,1,NA
"fish",1970,"834566fffffffff",9,9,NA
"fish",1970,"8344b6fffffffff",6,5,NA
"fish",1970,"834466fffffffff",1,1,NA
"fish",1970,"835e48fffffffff",15,7,NA
"fish",1970,"836d42fffffffff",2,2,NA
"fish",1970,"834463fffffffff",1,1,NA
"fish",1970,"83448bfffffffff",10,6,NA
"fish",1970,"834412fffffffff",11,5,NA
"fish",1970,"834423fffffffff",1,1,NA
"fish",1970,"835f5efffffffff",5,3,NA
"fish",1970,"836d04fffffffff",6,6,NA
"fish",1970,"834db3fffffffff",3,2,NA
"fish",1970,"836626fffffffff",1,1,NA
"fish",1970,"834c9efffffffff",3,2,NA
"fish",1970,"83440cfffffffff",2,2,NA
"fish",1970,"8345b6fffffffff",2,2,NA
"fish",1970,"835f5afffffffff",1,1,NA
"fish",1970,"834c95fffffffff",8,1,NA
"fish",1970,"834891fffffffff",2,2,NA
"fish",1970,"83674bfffffffff",2,2,NA
"fish",1970,"83676bfffffffff",1,1,NA
"fish",1970,"834474fffffffff",1,1,NA
"fish",1970,"834cf6fffffffff",4,1,NA
"fish",1970,"836616fffffffff",388,156,42.3760046786181
"fish",1970,"8366b1fffffffff",74,40,31.4802898596066
"fish",1970,"8344b5fffffffff",23,23,NA
"fish",1970,"834450fffffffff",182,76,33.8306324108759
"fish",1970,"834451fffffffff",8,4,NA
"fish",1970,"834486fffffffff",180,73,38.6170697064623
"fish",1970,"834489fffffffff",931,237,41.0626486457244
"fish",1970,"83448dfffffffff",1038,200,36.3244143796895
"fish",1970,"834d33fffffffff",101,53,38.3564356435628
"fish",1970,"835e4afffffffff",51,45,44.2352941176471
"fish",1970,"836d76fffffffff",34,27,NA
"fish",1970,"836775fffffffff",50,24,24
"fish",1970,"836d66fffffffff",33,27,NA
"fish",1970,"8344f0fffffffff",186,84,38.4903511989341
"fish",1970,"83446efffffffff",398,31,15.5795641619574
"fish",1970,"83440bfffffffff",184,100,40.0055317454271
"fish",1970,"834414fffffffff",169,70,34.7366957093301
"fish",1970,"836745fffffffff",53,45,42.7836591821053
"fish",1970,"83442efffffffff",26,16,NA
"fish",1970,"834470fffffffff",47,25,NA
