"cell","spue","effort","target"
"856c04cbfffffff",0,1,0
"856c0617fffffff",0,1,0
"856c2123fffffff",0,4,0
"856c21affffffff",0,5,0
"856c21cffffffff",0,4,0
"856c2257fffffff",0,2,0
"856c250bfffffff",0,1,0
"856c2c07fffffff",0,1,0
"856c316bfffffff",0,1,0
"856c317bfffffff",0,6,0
"856c31c3fffffff",0,2,0
"856c3233fffffff",0,1,0
"856d40b3fffffff",0,1,0
"856d41b3fffffff",0,1,0
"856d426ffffffff",0,1,0
"856d42bbfffffff",0,1,0
"856d46a7fffffff",0,3,0
"856d51abfffffff",0,3,0
"856d528ffffffff",0,1,0
"856d5433fffffff",0,1,0
"856d58bbfffffff",0,2,0
"856d5c43fffffff",0,5,0
"856d5cd7fffffff",0,4,0
"856d5e2bfffffff",0,1,0
"856d739bfffffff",0,2,0
"85440877fffffff",0,1,0
"854c206bfffffff",1,1,1
"854c8197fffffff",1,2,2
"854cab23fffffff",1,1,1
"854cc4bbfffffff",1,1,1
"85458ba7fffffff",1,1,1
"85459c87fffffff",1,1,1
"8566a18bfffffff",0.5,2,1
"8566a197fffffff",0,1,0
"8566b0d7fffffff",1,1,1
"8566b1b3fffffff",1,7,7
"8566b44bfffffff",1,5,5
"8566b5cbfffffff",1,3,3
"856d0613fffffff",0,1,0
"856d1407fffffff",0.970588235294118,34,33
"856d1433fffffff",1,27,27
"856d6207fffffff",0,1,0
"856d621bfffffff",0,3,0
"856d6287fffffff",1,5,5
"856d62b7fffffff",1,15,15
"856d684bfffffff",0.6,5,3
"856d685bfffffff",1,19,19
"856d68dbfffffff",1,2,2
"856d6e2ffffffff",1,3,3
"856d6ecbfffffff",0,1,0
"856d7683fffffff",1,7,7
"856d769bfffffff",1,1,1
"854ce843fffffff",1,1,1
"854ce94bfffffff",1,4,4
"854cee47fffffff",1,16,16
"854cf0a7fffffff",1,1,1
"854cf2b3fffffff",1,1,1
"854cf307fffffff",1,90,90
"854cf62bfffffff",1,5,5
"854cf637fffffff",1,1,1
"854cf63bfffffff",1,1,1
"854cf6d7fffffff",1,1,1
"854d11b3fffffff",1,1,1
"855e44bbfffffff",1,1,1
"855e5c33fffffff",1,1,1
"855e5c67fffffff",1,1,1
"855e660bfffffff",1,1,1
"855e7027fffffff",1,1,1
"855e7187fffffff",1,1,1
"855e71dbfffffff",1,1,1
"855e750bfffffff",1,1,1
"855f493bfffffff",0,2,0
"855f5a27fffffff",1,1,1
"855f5aa7fffffff",1,1,1
"8544ae73fffffff",1,1,1
"8544aedbfffffff",1,1,1
"8544321bfffffff",1,1,1
"85443477fffffff",0,1,0
"8544b4bbfffffff",0,1,0
"8544b533fffffff",0,1,0
"8544b567fffffff",0,2,0
"8544b5d3fffffff",0,1,0
"854c96dbfffffff",0,1,0
"854589a3fffffff",0,1,0
"85459d33fffffff",0,1,0
"856c241bfffffff",0,1,0
"856d0123fffffff",0,1,0
"856d1e9bfffffff",0,1,0
"85448433fffffff",0,1,0
"854484affffffff",0,2,0
"85449963fffffff",0,1,0
"854d9347fffffff",0,1,0
"855e4b23fffffff",0,1,0
"855e5527fffffff",0,1,0
"856c332bfffffff",0,2,0
"856d1937fffffff",0,1,0
"8544b65bfffffff",0,2,0
"854554d7fffffff",0,2,0
"8545590ffffffff",0,1,0
"85458093fffffff",0,1,0
"8545a377fffffff",0,1,0
