"group","res","area_km2","n_cells","n_cells_all","frac_cells_all","records","median_n","q25_n","q75_n","frac_eligible","median_es","median_sp","median_sp_elig","frac_n_ge_10","frac_n_ge_30","frac_n_ge_100"
"seabirds",6,36.129,911344,1805298,0.504816379345681,23744889,2,1,5,0.0540322863814323,8.76933829015962,1,11,0.162585148966801,0.0789175108411313,0.03000074615074
"seabirds",7,5.161,1750076,3792953,0.461401973607371,23744889,1,1,4,0.0310192243079729,8.04209101472272,1,10,0.136931196130911,0.0519331731879073,0.0152096251819921
"seagrasses",1,609788.442,220,842,0.261282660332542,311078,57,9,328.25,0.513636363636364,5.29409548545465,5,8,0.745454545454545,0.568181818181818,0.381818181818182
"seagrasses",2,86801.78,544,5799,0.0938092774616313,311078,19,4,93,0.34375,4.56987512743681,3,6,0.639705882352941,0.420955882352941,0.231617647058824
"seagrasses",3,12393.435,1133,36893,0.0307104328734448,311078,11,4,51,0.255957634598411,4.19150488531676,2,5,0.537511032656664,0.315975286849073,0.183583406884378
"seagrasses",4,1770.348,2122,182038,0.0116569067996792,311078,8,2,34,0.205466540999058,3.99870036955767,2,5,0.4688972667295,0.264844486333647,0.14703110273327
"seagrasses",5,252.904,3975,657311,0.00604736570664419,311078,6,2,22,0.154716981132075,3.99692166772825,2,5,0.397987421383648,0.210566037735849,0.107421383647799
"seagrasses",6,36.129,7261,1805298,0.00402205065313317,311078,4,2,14,0.115135656245696,3.81263931706322,2,4,0.325712711747693,0.159619887067897,0.069549648808704
"seagrasses",7,5.161,12420,3792953,0.00327449351468368,311078,4,2,11,0.0776167471819646,3.5467293358159,2,4,0.277697262479871,0.118115942028986,0.044122383252818
"seaTurtles",1,609788.442,539,842,0.640142517814727,447633,40,11,235,0.463821892393321,2.59770263153528,2,3,0.766233766233766,0.576994434137291,0.339517625231911
"seaTurtles",2,86801.78,2631,5799,0.453698913605794,447633,8,3,36,0.219308247814519,1.78892005610098,1,2,0.445458000760167,0.267198783732421,0.154694032687191
"seaTurtles",3,12393.435,10772,36893,0.291979508307809,447633,2,1,10,0.0980319346453769,1,1,1,0.256034162643892,0.138321574452284,0.0467879688080208
