"cell","spue","effort","target","sdm","bin"
"852a00a3fffffff",0.0285714285714286,35,1,100,1
"852a00d3fffffff",0.175675675675676,74,13,100,3
"852a022bfffffff",0.00694444444444444,144,1,100,1
"852a026bfffffff",0.0196078431372549,153,3,100,1
"852a0277fffffff",0.0131004366812227,229,3,100,1
"852a233bfffffff",0.293478260869565,92,27,100,3
"852a242bfffffff",0.0647773279352227,247,16,100,2
"852a2493fffffff",0.0645161290322581,124,8,100,2
"852a2627fffffff",0.137096774193548,248,34,100,3
"852af18bfffffff",0,172,0,100,0
"852af42bfffffff",0.0408163265306122,49,2,100,2
"852af623fffffff",0,220,0,100,0
"852b286bfffffff",0.2,30,6,100,3
"853924cbfffffff",0.000174978127734033,5715,1,100,1
"85484a43fffffff",0.67741935483871,31,21,100,4
"8566b0c7fffffff",0.97609561752988,251,245,100,5
"85be1a1bfffffff",0.980769230769231,52,51,100,5
"85beab0ffffffff",0.96875,32,31,100,5
"85beab77fffffff",0.990740740740741,648,642,100,5
"85beaba3fffffff",0.990322580645161,310,307,100,5
"85beabbbfffffff",1,49,49,100,5
"85cf325bfffffff",0.96551724137931,87,84,100,5
"85e4090bfffffff",0.09375,32,3,100,2
"8507234bfffffff",0,37,0,100,0
"850755b3fffffff",0.987315010570824,946,934,100,5
"85075d1bfffffff",0.137820512820513,312,43,100,3
"85075dabfffffff",0.0294117647058824,34,1,100,1
"85075edbfffffff",1,53,53,100,5
"8507736bfffffff",0.766666666666667,30,23,100,4
"850806d7fffffff",0,537,0,100,0
"850c4203fffffff",0.697674418604651,43,30,100,4
"850c5893fffffff",0.5625,32,18,100,4
"850c5adbfffffff",0.73828125,512,378,100,4
"85186083fffffff",0.024390243902439,41,1,100,1
"85194603fffffff",0.00558659217877095,179,1,100,1
"8519483bfffffff",0,97,0,100,0
"8519542bfffffff",0,105,0,100,0
"85195623fffffff",0,86,0,100,0
"8519562bfffffff",0.0571428571428571,35,2,100,2
"85196833fffffff",0.00847457627118644,118,1,100,1
"8528318bfffffff",0.700704225352113,284,199,100,4
"8528c0dbfffffff",0.736842105263158,38,28,100,4
"8528c24ffffffff",0.879194630872483,149,131,100,4
"8528c267fffffff",0.944444444444444,216,204,100,4
"85291a0ffffffff",0.384615384615385,39,15,100,3
"8529a50bfffffff",0.579399141630901,233,135,100,4
"8529a513fffffff",0.116279069767442,86,10,100,2
"8529a517fffffff",0.09375,32,3,100,2
"8529a51bfffffff",0.0773480662983425,181,14,100,2
"8529a523fffffff",0.233333333333333,30,7,100,3
"852a3097fffffff",0.339307048984468,837,284,100,3
"852a30b7fffffff",0.232,250,58,100,3
"852a3107fffffff",0.378378378378378,74,28,100,3
"852a3117fffffff",0.474903474903475,518,246,100,3
"852a318bfffffff",0.366533864541833,251,92,100,3
"852a348ffffffff",0.206106870229008,131,27,100,3
"852b08b3fffffff",0.0289855072463768,69,2,100,1
"852b3113fffffff",0.0641025641025641,78,5,100,2
"852b3117fffffff",0.0256410256410256,117,3,100,1
"852b3123fffffff",0.101449275362319,69,7,100,2
"852b31c3fffffff",0,80,0,100,0
"852b31d7fffffff",0.0333333333333333,30,1,100,1
"852b36b7fffffff",0.488372093023256,86,42,100,3
"85490b93fffffff",0.0384615384615385,52,2,100,2
"855d104ffffffff",0.386186770428016,1028,397,100,3
"855d12b7fffffff",0.235687022900763,1048,247,100,3
"855d168bfffffff",0.116504854368932,103,12,100,2
"8581160ffffffff",1,156,156,100,5
"85a62263fffffff",1,383,383,100,5
"85a6a29bfffffff",1,55,55,100,5
"85b9148ffffffff",0.037037037037037,54,2,100,2
"85b914dbfffffff",0.114942528735632,522,60,100,2
"85be6077fffffff",0.650602409638554,83,54,100,4
"85be68d3fffffff",0.0180032733224223,3055,55,100,1
"85df1c07fffffff",0.837209302325581,43,36,100,4
"85df264bfffffff",1,80,80,100,5
"85df3123fffffff",0.324074074074074,108,35,100,3
"85df3187fffffff",0.218181818181818,55,12,100,3
"85df3507fffffff",0.973193473193473,858,835,100,5
"85df356ffffffff",1,385,385,100,5
"85df4513fffffff",0.704225352112676,71,50,100,4
"85df8157fffffff",0.979020979020979,143,140,100,5
"8544b12bfffffff",0,82,0,100,0
"8509a68ffffffff",0,35,0,100,0
"85192b03fffffff",0,214,0,100,0
"851972a7fffffff",0,192,0,100,0
"851974c3fffffff",0,31,0,100,0
"85095bd7fffffff",0,72,0,100,0
"8519400bfffffff",0,35,0,100,0
"85190e23fffffff",0,118,0,100,0
"85194b0ffffffff",0,39,0,100,0
"8519700ffffffff",0,38,0,100,0
"85182347fffffff",0,67,0,100,0
"8518018bfffffff",0,91,0,100,0
"851848b7fffffff",0,869,0,100,0
"852a18d7fffffff",0,97,0,100,0
"853434b3fffffff",0,45,0,100,0
"8544658ffffffff",0,75,0,100,0
"8544669bfffffff",0,45,0,100,0
"8544700ffffffff",0,214,0,100,0
"8544704ffffffff",0,158,0,100,0
"85447093fffffff",0,34,0,100,0
"85447267fffffff",0,60,0,100,0
"850981c3fffffff",0,30,0,100,0
"85351a4bfffffff",0,43,0,100,0
"8545493bfffffff",0,175,0,100,0
"85489693fffffff",0,39,0,100,0
"85c30197fffffff",0,30,0,100,0
"85192baffffffff",0,641,0,100,0
"85464147fffffff",0,43,0,100,0
"851870cffffffff",0,39,0,100,0
"8519569bfffffff",0,48,0,100,0
"852b1d13fffffff",0,35,0,100,0
"852b2183fffffff",0,34,0,100,0
"85195a67fffffff",0,149,0,100,0
"85195e53fffffff",0,179,0,100,0
"85195e7bfffffff",0,226,0,100,0
"8519532ffffffff",0,147,0,100,0
"85195643fffffff",0,59,0,100,0
"851849dbfffffff",0,109,0,100,0
"85186a73fffffff",0,196,0,100,0
"8548496bfffffff",0,47,0,100,0
"851873a7fffffff",0,81,0,100,0
"85195bdbfffffff",0,179,0,100,0
"852adcd3fffffff",0,32,0,100,0
"85bb52bbfffffff",0,165,0,100,0
"851862a7fffffff",0,354,0,100,0
"8544f243fffffff",0,80,0,100,0
"8544f247fffffff",0,35,0,100,0
"859451d7fffffff",0,389,0,100,0
"85182c17fffffff",0,130,0,100,0
"851f210bfffffff",0,57,0,100,0
"851f2157fffffff",0,32,0,100,0
"85099bcbfffffff",0,54,0,100,0
"851f2557fffffff",0,126,0,100,0
"85099a23fffffff",0,218,0,100,0
"85446ed7fffffff",0,235,0,100,0
"85441e57fffffff",0,285,0,100,0
"8544e423fffffff",0,212,0,100,0
"85441ecffffffff",0,49,0,100,0
"8544f36ffffffff",0,272,0,100,0
"85012593fffffff",0.688931297709924,524,361,100,4
"85012b07fffffff",0.476190476190476,42,20,100,3
"85013187fffffff",0.125,32,4,100,2
"85017603fffffff",0.282608695652174,46,13,100,3
"850176cffffffff",0.464285714285714,56,26,100,3
"8508ed27fffffff",0.311111111111111,45,14,100,3
"85094aa7fffffff",0.129032258064516,31,4,100,2
"8509a463fffffff",0.0442708333333333,384,17,100,2
"8509a46ffffffff",0.0277777777777778,252,7,100,1
"8509aa7bfffffff",0.00211864406779661,1416,3,100,1
"8509accffffffff",0,40,0,100,0
"8518447bfffffff",0,158,0,100,0
"85187637fffffff",0.00859598853868195,698,6,100,1
"8519282bfffffff",0.0058252427184466,515,3,100,1
"8519288ffffffff",0.00847457627118644,118,1,100,1
"851928d7fffffff",0.0487804878048781,82,4,100,2
"85192babfffffff",0.00588550026752274,1869,11,100,1
"851972bbfffffff",0.0051150895140665,391,2,100,1
"8528dd8bfffffff",0.866666666666667,30,26,100,4
"8528e6c3fffffff",0.354838709677419,31,11,100,3
"852a1183fffffff",0.0392156862745098,51,2,100,2
"852a11abfffffff",0.0222222222222222,45,1,100,1
"852a1563fffffff",0.131578947368421,38,5,100,2
"852a1573fffffff",0.452830188679245,53,24,100,3
"852a1a47fffffff",0.0526315789473684,38,2,100,2
"852a34bbfffffff",0.238532110091743,218,52,100,3
"852a3503fffffff",0.173184357541899,179,31,100,3
"852a350ffffffff",0.0645161290322581,124,8,100,2
"852a3537fffffff",0.0238095238095238,210,5,100,1
"852a354ffffffff",0.196969696969697,198,39,100,3
"852a356bfffffff",0.230366492146597,191,44,100,3
"852aa9b7fffffff",0.025,40,1,100,1
"852aadaffffffff",0.0434782608695652,92,4,100,2
"852b0d37fffffff",0,57,0,100,0
"852b0db7fffffff",0.121212121212121,33,4,100,2
"852b0eabfffffff",0.173913043478261,69,12,100,3
"852b180ffffffff",0.0930232558139535,43,4,100,2
"852b1893fffffff",0.0632774472687939,3698,234,100,2
"852b18a3fffffff",0.127450980392157,204,26,100,2
"852b194bfffffff",0.193548387096774,31,6,100,3
"852b1983fffffff",0.333333333333333,78,26,100,3
"852b199bfffffff",0.164179104477612,67,11,100,3
"852b1a27fffffff",0.0196078431372549,51,1,100,1
"852b1b6bfffffff",0,153,0,100,0
"853422bbfffffff",0,142,0,100,0
"8534262bfffffff",0.00469483568075117,426,2,100,1
"8534265bfffffff",0,154,0,100,0
"85343593fffffff",0,48,0,100,0
"8534369bfffffff",0,254,0,100,0
"853460d3fffffff",0,82,0,100,0
"85464947fffffff",0.00909090909090909,110,1,100,1
"855d16b3fffffff",0.996800882515168,9065,9036,100,5
"8594ad2bfffffff",0.40625,32,13,100,3
"859b0a7bfffffff",0.988095238095238,84,83,100,5
"85a30407fffffff",0.34,50,17,100,3
"85a61067fffffff",0.839041095890411,292,245,100,4
"85a61077fffffff",0.995863495346432,967,963,100,5
"85be1d17fffffff",0.96969696969697,66,64,100,5
"85bf5b77fffffff",0.954545454545455,44,42,100,4
"85de906ffffffff",0.0303030303030303,33,1,100,1
